  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      464        1.339        5.326            0      479.816       27.778       66.067
      465        1.485        5.529            0      480.377       23.674       70.615
      466        1.554        5.362            0      478.037       18.072       75.883
      467        1.431        5.259            0      479.773        9.022       77.326
      468        1.400        5.478            0      481.914       15.601       67.582
      469        1.510        5.346            0      477.666       15.540       64.672
      470        1.728        5.323            0      474.739       19.900       66.511
      471        1.463        5.379            0      481.133       11.016       64.128
      472        1.648        5.332            0      475.404       15.931       72.023
      473        1.394        5.332            0      478.041        7.406       67.709
      474        1.371        5.347            0      478.286       35.704       74.722
      475        1.450        5.265            0      477.198       28.068       70.247
      476        1.403        5.458            0      483.020       20.200       65.881
      477        1.419        5.436            0      484.747       21.484       74.144
      478        1.370        5.359            0      479.601        9.318       63.222
      479        1.562        5.304            0      477.006       21.254       66.067
      480        1.391        5.308            0      482.012       10.399       70.767
      481        1.258        5.346            0      477.885       24.588       72.298
      482        1.280        5.322            0      475.101       15.663       69.711
      483        1.437        5.387            0      477.276       10.499       70.698
      484        1.464        5.568            0      484.870       10.928       64.538
      485        1.525        5.511            0      477.652       18.964       69.288
      486        1.529        5.486            0      472.925       23.467       80.303
      487        1.545        5.473            0      480.601       10.845       73.878
      488        1.626        5.539            0      475.557       18.986       63.176
      489        1.534        5.492            0      481.633       15.329       73.074
      490        1.538        5.544            0      483.134       16.189       69.962
      491        1.353        5.385            0      480.217       17.001       65.971
      492        1.495        5.452            0      487.816        9.969       65.930
      493        1.401        5.410            0      479.004       18.026       71.025
      494        1.407        5.336            0      477.824       13.888       64.479
      495        1.400        5.431            0      478.000       14.856       70.162
      496        1.539        5.316            0      478.549       17.750       77.364
      497        1.617        5.489            0      478.031       14.220       72.235
      498        1.422        5.495            0      481.768       14.679       69.276
      499        1.551        5.428            0      483.286       15.522       68.761
      500        1.538        5.454            0      476.846       17.847       73.471
      501        1.539        5.532            0      479.929        8.687       77.165
      502        1.503        5.393            0      481.393       17.939       71.293
      503        1.456        5.492            0      478.023       15.558       71.908
      504        1.483        5.505            0      483.369       15.467       64.558
